date,total_trades,total_pnl,avg_pnl,win_rate,sentiment
2023-01-05,0,0.0,,,Fear
2023-05-12,0,0.0,,,Neutral
2024-01-01,0,0.0,,,Greed
2024-01-02,0,0.0,,,Greed
2024-01-03,0,0.0,,,Greed
2024-01-04,0,0.0,,,Greed
2024-01-05,0,0.0,,,Greed
2024-01-06,0,0.0,,,Greed
2024-01-07,0,0.0,,,Greed
2024-01-08,0,0.0,,,Greed
2024-01-09,0,0.0,,,Extreme Greed
2024-01-10,0,0.0,,,Greed
2024-01-11,0,0.0,,,Extreme Greed
2024-01-12,0,0.0,,,Greed
2024-02-01,0,0.0,,,Greed
2024-02-02,0,0.0,,,Greed
2024-02-03,0,0.0,,,Greed
2024-02-04,0,0.0,,,Greed
2024-02-06,0,0.0,,,Greed
2024-02-07,0,0.0,,,Greed
2024-02-08,0,0.0,,,Greed
2024-02-09,0,0.0,,,Greed
2024-02-10,0,0.0,,,Greed
2024-02-11,0,0.0,,,Greed
2024-02-12,0,0.0,,,Greed
2024-03-01,0,0.0,,,Extreme Greed
2024-03-02,0,0.0,,,Extreme Greed
2024-03-03,0,0.0,,,Extreme Greed
2024-03-04,0,0.0,,,Extreme Greed
2024-03-05,0,0.0,,,Extreme Greed
2024-03-06,0,0.0,,,Extreme Greed
2024-03-07,0,0.0,,,Extreme Greed
2024-03-08,0,0.0,,,Extreme Greed
2024-03-10,0,0.0,,,Extreme Greed
2024-03-11,0,0.0,,,Extreme Greed
2024-03-12,0,0.0,,,Extreme Greed
2024-04-01,0,0.0,,,Extreme Greed
2024-04-02,0,0.0,,,Extreme Greed
2024-04-03,0,0.0,,,Greed
2024-04-04,0,0.0,,,Greed
2024-04-05,0,0.0,,,Extreme Greed
2024-04-06,0,0.0,,,Extreme Greed
2024-04-07,0,0.0,,,Extreme Greed
2024-04-08,0,0.0,,,Extreme Greed
2024-04-09,0,0.0,,,Extreme Greed
2024-04-10,0,0.0,,,Extreme Greed
2024-04-11,0,0.0,,,Extreme Greed
2024-04-12,0,0.0,,,Extreme Greed
2024-05-01,0,0.0,,,Neutral
2024-05-02,0,0.0,,,Fear
2024-05-03,0,0.0,,,Neutral
2024-05-04,0,0.0,,,Greed
2024-05-05,0,0.0,,,Greed
2024-05-06,0,0.0,,,Greed
2024-05-07,0,0.0,,,Greed
2024-05-08,0,0.0,,,Greed
2024-05-09,0,0.0,,,Greed
2024-05-10,0,0.0,,,Greed
2024-05-11,0,0.0,,,Neutral
